lig_Araquidonico_0005 vs lig_Araquidonico_0012: 39.0952
lig_Araquidonico_0005 vs lig_Araquidonico_0013: 5.8674
lig_Araquidonico_0005 vs lig_Araquidonico_0014: 4.9184
lig_Araquidonico_0005 vs lig_Araquidonico_0015: 10.1050
lig_Araquidonico_0005 vs lig_Araquidonico_0016: 6.5429
lig_Araquidonico_0005 vs lig_Araquidonico_0017: 21.1485
lig_Araquidonico_0005 vs lig_Araquidonico_0018: 3.4787
lig_Araquidonico_0005 vs lig_Araquidonico_0019: 4.5429
lig_Araquidonico_0005 vs lig_Araquidonico_0020: 4.4400
lig_Araquidonico_0006 vs lig_Araquidonico_0007: 4.9628
lig_Araquidonico_0006 vs lig_Araquidonico_0008: 4.9760
lig_Araquidonico_0006 vs lig_Araquidonico_0009: 38.2710
lig_Araquidonico_0006 vs lig_Araquidonico_0010: 11.0558
lig_Araquidonico_0006 vs lig_Araquidonico_0011: 25.3674
lig_Araquidonico_0006 vs lig_Araquidonico_0012: 39.4994
lig_Araquidonico_0006 vs lig_Araquidonico_0013: 10.9175
lig_Araquidonico_0006 vs lig_Araquidonico_0014: 11.5283
lig_Araquidonico_0006 vs lig_Araquidonico_0015: 5.9744
lig_Araquidonico_0006 vs lig_Araquidonico_0016: 7.0374
lig_Araquidonico_0006 vs lig_Araquidonico_0017: 18.4943
lig_Araquidonico_0006 vs lig_Araquidonico_0018: 8.5174
lig_Araquidonico_0006 vs lig_Araquidonico_0019: 8.7052
lig_Araquidonico_0006 vs lig_Araquidonico_0020: 8.8167
lig_Araquidonico_0007 vs lig_Araquidonico_0008: 7.0746
lig_Araquidonico_0007 vs lig_Araquidonico_0009: 39.6075
lig_Araquidonico_0007 vs lig_Araquidonico_0010: 13.6891
lig_Araquidonico_0007 vs lig_Araquidonico_0011: 26.2148
lig_Araquidonico_0007 vs lig_Araquidonico_0012: 40.4212
lig_Araquidonico_0007 vs lig_Araquidonico_0013: 10.0246
lig_Araquidonico_0007 vs lig_Araquidonico_0014: 10.8094
lig_Araquidonico_0007 vs lig_Araquidonico_0015: 3.9709
lig_Araquidonico_0007 vs lig_Araquidonico_0016: 6.4977
lig_Araquidonico_0007 vs lig_Araquidonico_0017: 19.0532
lig_Araquidonico_0007 vs lig_Araquidonico_0018: 7.5305
lig_Araquidonico_0007 vs lig_Araquidonico_0019: 7.6743
lig_Araquidonico_0007 vs lig_Araquidonico_0020: 7.4360
lig_Araquidonico_0008 vs lig_Araquidonico_0009: 37.9704
lig_Araquidonico_0008 vs lig_Araquidonico_0010: 11.0876
lig_Araquidonico_0008 vs lig_Araquidonico_0011: 25.0804
lig_Araquidonico_0008 vs lig_Araquidonico_0012: 39.1172
lig_Araquidonico_0008 vs lig_Araquidonico_0013: 10.3201
lig_Araquidonico_0008 vs lig_Araquidonico_0014: 11.8576
lig_Araquidonico_0008 vs lig_Araquidonico_0015: 6.2151
lig_Araquidonico_0008 vs lig_Araquidonico_0016: 7.1802
lig_Araquidonico_0008 vs lig_Araquidonico_0017: 18.5495
lig_Araquidonico_0008 vs lig_Araquidonico_0018: 7.6746
lig_Araquidonico_0008 vs lig_Araquidonico_0019: 8.2677
lig_Araquidonico_0008 vs lig_Araquidonico_0020: 8.3801
lig_Araquidonico_0009 vs lig_Araquidonico_0010: 36.4177
lig_Araquidonico_0009 vs lig_Araquidonico_0011: 16.8150
lig_Araquidonico_0009 vs lig_Araquidonico_0012: 7.0012
lig_Araquidonico_0009 vs lig_Araquidonico_0013: 40.4830
lig_Araquidonico_0009 vs lig_Araquidonico_0014: 39.0862
lig_Araquidonico_0009 vs lig_Araquidonico_0015: 40.4296
lig_Araquidonico_0009 vs lig_Araquidonico_0016: 39.8627
