lig_TioflavinaT_0005 vs lig_TioflavinaT_0012: 8.1741
lig_TioflavinaT_0005 vs lig_TioflavinaT_0013: 3.8117
lig_TioflavinaT_0005 vs lig_TioflavinaT_0014: 4.2903
lig_TioflavinaT_0005 vs lig_TioflavinaT_0015: 7.8361
lig_TioflavinaT_0005 vs lig_TioflavinaT_0016: 4.9781
lig_TioflavinaT_0005 vs lig_TioflavinaT_0017: 2.5285
lig_TioflavinaT_0005 vs lig_TioflavinaT_0018: 4.4767
lig_TioflavinaT_0005 vs lig_TioflavinaT_0019: 8.2958
lig_TioflavinaT_0006 vs lig_TioflavinaT_0007: 8.2031
lig_TioflavinaT_0006 vs lig_TioflavinaT_0008: 8.2914
lig_TioflavinaT_0006 vs lig_TioflavinaT_0009: 7.7309
lig_TioflavinaT_0006 vs lig_TioflavinaT_0010: 1.9535
lig_TioflavinaT_0006 vs lig_TioflavinaT_0011: 7.9274
lig_TioflavinaT_0006 vs lig_TioflavinaT_0012: 8.4033
lig_TioflavinaT_0006 vs lig_TioflavinaT_0013: 4.8741
lig_TioflavinaT_0006 vs lig_TioflavinaT_0014: 4.7273
lig_TioflavinaT_0006 vs lig_TioflavinaT_0015: 8.1137
lig_TioflavinaT_0006 vs lig_TioflavinaT_0016: 5.7647
lig_TioflavinaT_0006 vs lig_TioflavinaT_0017: 3.9644
lig_TioflavinaT_0006 vs lig_TioflavinaT_0018: 3.9095
lig_TioflavinaT_0006 vs lig_TioflavinaT_0019: 8.0024
lig_TioflavinaT_0007 vs lig_TioflavinaT_0008: 1.0979
lig_TioflavinaT_0007 vs lig_TioflavinaT_0009: 2.5497
lig_TioflavinaT_0007 vs lig_TioflavinaT_0010: 8.1613
lig_TioflavinaT_0007 vs lig_TioflavinaT_0011: 4.0785
lig_TioflavinaT_0007 vs lig_TioflavinaT_0012: 2.1833
lig_TioflavinaT_0007 vs lig_TioflavinaT_0013: 7.9014
lig_TioflavinaT_0007 vs lig_TioflavinaT_0014: 8.0540
lig_TioflavinaT_0007 vs lig_TioflavinaT_0015: 1.6257
lig_TioflavinaT_0007 vs lig_TioflavinaT_0016: 8.3721
lig_TioflavinaT_0007 vs lig_TioflavinaT_0017: 7.5476
lig_TioflavinaT_0007 vs lig_TioflavinaT_0018: 9.7106
lig_TioflavinaT_0007 vs lig_TioflavinaT_0019: 4.7336
lig_TioflavinaT_0008 vs lig_TioflavinaT_0009: 2.5026
lig_TioflavinaT_0008 vs lig_TioflavinaT_0010: 8.2741
lig_TioflavinaT_0008 vs lig_TioflavinaT_0011: 4.0995
lig_TioflavinaT_0008 vs lig_TioflavinaT_0012: 1.8619
lig_TioflavinaT_0008 vs lig_TioflavinaT_0013: 7.9174
lig_TioflavinaT_0008 vs lig_TioflavinaT_0014: 8.0447
lig_TioflavinaT_0008 vs lig_TioflavinaT_0015: 1.2853
lig_TioflavinaT_0008 vs lig_TioflavinaT_0016: 8.2525
lig_TioflavinaT_0008 vs lig_TioflavinaT_0017: 7.6091
lig_TioflavinaT_0008 vs lig_TioflavinaT_0018: 9.7594
lig_TioflavinaT_0008 vs lig_TioflavinaT_0019: 4.7856
lig_TioflavinaT_0009 vs lig_TioflavinaT_0010: 7.8068
lig_TioflavinaT_0009 vs lig_TioflavinaT_0011: 2.1564
lig_TioflavinaT_0009 vs lig_TioflavinaT_0012: 3.2102
lig_TioflavinaT_0009 vs lig_TioflavinaT_0013: 8.6878
lig_TioflavinaT_0009 vs lig_TioflavinaT_0014: 8.7967
lig_TioflavinaT_0009 vs lig_TioflavinaT_0015: 2.4076
lig_TioflavinaT_0009 vs lig_TioflavinaT_0016: 9.1493
lig_TioflavinaT_0009 vs lig_TioflavinaT_0017: 7.9703
lig_TioflavinaT_0009 vs lig_TioflavinaT_0018: 8.4641
lig_TioflavinaT_0009 vs lig_TioflavinaT_0019: 2.9215
lig_TioflavinaT_0010 vs lig_TioflavinaT_0011: 8.1079
lig_TioflavinaT_0010 vs lig_TioflavinaT_0012: 8.1525
lig_TioflavinaT_0010 vs lig_TioflavinaT_0013: 4.6262
lig_TioflavinaT_0010 vs lig_TioflavinaT_0014: 4.7218
lig_TioflavinaT_0010 vs lig_TioflavinaT_0015: 8.1500
lig_TioflavinaT_0010 vs lig_TioflavinaT_0016: 5.0890
lig_TioflavinaT_0010 vs lig_TioflavinaT_0017: 3.4656
lig_TioflavinaT_0010 vs lig_TioflavinaT_0018: 4.3711
lig_TioflavinaT_0010 vs lig_TioflavinaT_0019: 7.9298
lig_TioflavinaT_0011 vs lig_TioflavinaT_0012: 4.7867
lig_TioflavinaT_0011 vs lig_TioflavinaT_0013: 9.6875
lig_TioflavinaT_0011 vs lig_TioflavinaT_0014: 9.8728
lig_TioflavinaT_0011 vs lig_TioflavinaT_0015: 3.6346
